title,scope_regionality,region,location_1,location_2,location_3,location_4,location_5,location_6,location_raw,organisation_1,organisation_2,organisation_3,organisation_4,organisation_5,organisation_6,organisation_7,organisation_8,organisation_raw,registry_url,information_url,type,subject_frame,subject_information,scope_population,scope_age,age_max,age_min,sample_design,sample_analysis_unit,sample_size_rounded,start_date,end_date,resource_url_1,resource_url_2,resource_url_3,resource_url_4,resource_url_5,results_seroprevalence_information,results_publication_url,results_publication_date,results_publication_type,analysis_data_source,analysis_target,analysis_isotype,analysis_test,analysis_test_manufacturer_1,analysis_test_manufacturer_2,analysis_test_manufacturer_3,analysis_test_manufacturer_4,analysis_test_manufacturer_5,analysis_test_manufacturer_6,analysis_test_manufacturer_7,analysis_test_manufacturer_raw,results_seroprevalence_adjustment,results_seroprevalence_sensitivity,results_seroprevalence_specificity,results_seroprevalence_positive,results_seroprevalence_positive_95pct_lower,results_seroprevalence_positive_95pct_upper,record_created,record_modified,results_underreporting
Rheinland Corona Studie,Lokal/Regional,Nordrhein-Westfalen,Bonn,Bonn Beuel,Bonn Hardtberg,,,,Bonner Stadtbezirke Beuel und Hardtberg und Umgebung,Deutsches Zentrum für Neurodegenerative Erkrankungen (DZNE),,,,,,,,Deutsches Zentrum für Neurodegenerative Erkrankungen (DZNE),,https://www.rheinland-studie.de/die-studie/die-corona-studie.html,Quer- und selektiver Längsschnitt,Wohnbevölkerung,Bereits in die Rheinland-Studie eingeschlossene Teilnehmende,Allgemeinbevölkerung,Erwachsene,,30,Kohortenstichprobe - Ziehung aus Kohortenstudie der Allgemeinbevökerung,Teilnehmende,4800,2020-04-24,2020-06-30,https://doi.org/10.1101/2020.08.24.20181206,https://doi.org/10.1038/s41467-021-22351-5,,,,Adjustierte Antikörperprävalenzen der bereits in die Rheinland-Studie eingeschlossenen Teilnehmenden,https://doi.org/10.1038/s41467-021-22351-5,2021-04-09,Peer-reviewed Publikation,Vollblut,anti -S1,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,Nicht adjustiert,0.868,1,0.0097,0.0072,0.013,2021-11-01,2021-09-18,4.2
COVID-19 Case-Cluster-Study,Lokal/Regional,Nordrhein-Westfalen,Gangelt,,,,,,Gangelt,"Universitätsklinikum Bonn, Institut für Virologie",Universitätsklinikum Bonn,,,,,,,"Institut für Virologie, Universitätsklinikum Bonn",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00021306,,Quer- und selektiver Längsschnitt,Wohnbevölkerung,Einwohnerinnen und Einwohner aus Gangelt sowie deren Haushaltsangehörige,Allgemeinbevölkerung,Mehrere,90,1,Einwohnermeldeamts-Zufallsstichprobe,Teilnehmende,900,2020-03-31,2020-04-06,https://doi.org/10.1101/2020.05.04.20090076,https://doi.org/10.1038/s41467-020-19509-y,https://doi.org/10.1101/2022.01.26.22269805,,,Seroprävalenz der Bevölkerung Gangelts,https://doi.org/10.1038/s41467-020-19509-y,2020-11-17,Peer-reviewed Publikation,Vollblut,,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,Adjustiert für Test-Güte und bevölkerungsgewichtet,0.909,0.991,0.141,0.112,0.173,2021-07-30,2021-10-28,5
COVID-19 Case-Cluster-Study,Lokal/Regional,Nordrhein-Westfalen,Gangelt,,,,,,Gangelt,"Universitätsklinikum Bonn, Institut für Virologie",Universitätsklinikum Bonn,,,,,,,"Institut für Virologie, Universitätsklinikum Bonn",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00021306,,Quer- und selektiver Längsschnitt,Wohnbevölkerung,Einwohnerinnen und Einwohner aus Gangelt sowie deren Haushaltsangehörige,Allgemeinbevölkerung,Mehrere,90,1,Einwohnermeldeamts-Zufallsstichprobe,Teilnehmende,600,2020-10-01,2020-10-31,,,,,,Seroprävalenz der Bevölkerung Gangelts für den Zeitraum Oktober 2020,https://doi.org/10.1101/2022.01.26.22269805,2022-01-28,Preprint,Vollblut,,IgG,"ELISA ",EUROIMMUN,ROCHE N,,,,,,EUROIMMUN; ROCHE N,Adjustiert für Test-Güte,0.909,0.991,0.181,0.137,0.23,2022-02-15,2022-02-15,
COVID-19 Case-Cluster-Study,Lokal/Regional,Nordrhein-Westfalen,Gangelt,,,,,,Gangelt,"Universitätsklinikum Bonn, Institut für Virologie",Universitätsklinikum Bonn,,,,,,,"Institut für Virologie, Universitätsklinikum Bonn",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00021306,,Quer- und selektiver Längsschnitt,Wohnbevölkerung,Einwohnerinnen und Einwohner aus Gangelt sowie deren Haushaltsangehörige,Allgemeinbevölkerung,Mehrere,90,1,Einwohnermeldeamts-Zufallsstichprobe,Teilnehmende,500,2021-01-01,2021-01-31,,,,,,Seroprävalenz der Bevölkerung Gangelts für den Zeitraum Januar 2021,https://doi.org/10.1101/2022.01.26.22269805,2022-01-28,Preprint,Vollblut,,IgG,"ELISA ",EUROIMMUN,ROCHE N,,,,,,EUROIMMUN; ROCHE N,Adjustiert für Test-Güte,0.909,0.991,0.21,0.162,0.261,2022-02-15,2022-02-15,
COVID-19 Case-Cluster-Study,Lokal/Regional,Nordrhein-Westfalen,Gangelt,,,,,,Gangelt,"Universitätsklinikum Bonn, Institut für Virologie",Universitätsklinikum Bonn,,,,,,,"Institut für Virologie, Universitätsklinikum Bonn",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00021306,,Quer- und selektiver Längsschnitt,Wohnbevölkerung,Einwohnerinnen und Einwohner aus Gangelt sowie deren Haushaltsangehörige,Allgemeinbevölkerung,Mehrere,90,1,Einwohnermeldeamts-Zufallsstichprobe,Teilnehmende,400,2021-04-01,2021-04-30,,,,,,Seroprävalenz der Bevölkerung Gangelts für den Zeitraum April 2021,https://doi.org/10.1101/2022.01.26.22269805,2022-01-28,Preprint,Vollblut,,IgG,"ELISA ",EUROIMMUN,ROCHE N,,,,,,EUROIMMUN; ROCHE N,Adjustiert für Test-Güte,0.909,0.991,0.359,0.3,0.42,2022-02-15,2022-02-15,
Prospektive Covid-19 Kohorte München (KoCo19),Lokal/Regional,Bayern,München,,,,,,München,Ludwig-Maximilians-Universität (LMU) München,Helmholtz Zentrum München,Tropeninstitut der Ludwig-Maximilians-Universität (LMU) München,,,,,,Tropeninstitut der Ludwig-Maximilians-Universität (LMU) München; Helmholtz Zentrum München,https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00021698,www.koco19.de,Längsschnitt/Prospektive Kohortenstudie,Wohnbevölkerung,Münchner Haushalte,Allgemeinbevölkerung,Mehrere,,14,Nicht-Einwohnermeldeamts-Zufallsstichprobe,Teilnehmende,5300,2020-04-05,2020-06-12,https://doi.org/10.1186/s12889-020-09164-9,https://doi.org/10.3390/ijerph18073572,https://doi.org/10.1186/s12879-021-06589-4,http://www.klinikum.uni-muenchen.de/Abteilung-fuer-Infektions-und-Tropenmedizin/download/de/KoCo19/Runde-4/KoCo19_Zusammenfassung_Runde4.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
Prospektive Covid-19 Kohorte München (KoCo19),Lokal/Regional,Bayern,München,,,,,,München,Ludwig-Maximilians-Universität (LMU) München,Helmholtz Zentrum München,Tropeninstitut der Ludwig-Maximilians-Universität (LMU) München,,,,,,Tropeninstitut der Ludwig-Maximilians-Universität (LMU) München; Helmholtz Zentrum München,https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00021698,www.koco19.de,Längsschnitt/Prospektive Kohortenstudie,Wohnbevölkerung,Münchner Haushalte,Allgemeinbevölkerung,Mehrere,,14,Nicht-Einwohnermeldeamts-Zufallsstichprobe,Teilnehmende,5300,2020-04-05,2020-06-12,,,,,,Seroprävalenz aus der ersten Erhebungswelle in Münchner Haushalten,https://doi.org/10.3390/ijerph18073572,2021-03-30,Peer-reviewed Publikation,Vollblut,anti Nucleocapsid,Gesamt Ig-Antikörper,Elektrochemolumineszenz (ECL)-Immunassay; LIPS,ROCHE N,,,,,,,ROCHE N,Adjustiert für Test-Güte und bevölkerungsgewichtet,0.886,0.997,0.018,0.013,0.024,2021-08-11,2021-10-11,4
Prospektive Covid-19 Kohorte München (KoCo19),Lokal/Regional,Bayern,München,,,,,,München,Ludwig-Maximilians-Universität (LMU) München,Helmholtz Zentrum München,Tropeninstitut der Ludwig-Maximilians-Universität (LMU) München,,,,,,Tropeninstitut der LMU und Helmholtz Zentrum München,https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00021699,www.koco19.de,Längsschnitt/Prospektive Kohortenstudie,Wohnbevölkerung,Münchner Haushalte,Allgemeinbevölkerung,Mehrere,,14,Nicht-Einwohnermeldeamts-Zufallsstichprobe,Teilnehmende,4400,2020-11-02,2021-01-31,,,,,,Seroprävalenz aus der zweiten Erhebungswelle in Münchner Haushalten (Antikörper nach Infektion),https://doi.org/10.1186/s12879-021-06589-4,2021-09-08,Peer-reviewed Publikation,Kapillarblut,anti Nucleocapsid,Gesamt Ig-Antikörper,Elektrochemolumineszenz (ECL)-Immunassay; LIPS,ROCHE N,,,,,,,ROCHE N,Adjustiert für Test-Güte und bevölkerungsgewichtet,0.992,0.987,0.036,0.029,0.043,,2021-10-29,2
Prospektive Covid-19 Kohorte München (KoCo19),Lokal/Regional,Bayern,München,,,,,,München,Ludwig-Maximilians-Universität (LMU) München,Helmholtz Zentrum München,Tropeninstitut der Ludwig-Maximilians-Universität (LMU) München,,,,,,Tropeninstitut der Ludwig-Maximilians-Universität (LMU) München; Helmholtz Zentrum München,https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00021698,www.koco19.de,Längsschnitt/Prospektive Kohortenstudie,Wohnbevölkerung,Münchner Haushalte,Allgemeinbevölkerung,Mehrere,,14,Nicht-Einwohnermeldeamts-Zufallsstichprobe,Teilnehmende,,2021-03-15,2021-04-15,,,,,,Seroprävalenz aus der dritten Erhebungswelle in Münchner Haushalten (Antikörper nach Infektion),http://www.klinikum.uni-muenchen.de/Abteilung-fuer-Infektions-und-Tropenmedizin/de/COVID-19/KoCo19/index.html,2021-07-19,Institutional report,Kapillarblut,anti Nucleocapsid,Gesamt Ig-Antikörper,Elektrochemolumineszenz (ECL)-Immunassay; LIPS,ROCHE N,,,,,,,ROCHE N,Adjustiert für Test-Güte und bevölkerungsgewichtet,,,0.065,,,2021-08-11,2021-10-29,
Prospektive Covid-19 Kohorte München (KoCo19),Lokal/Regional,Bayern,München,,,,,,München,Ludwig-Maximilians-Universität (LMU) München,Helmholtz Zentrum München,Tropeninstitut der Ludwig-Maximilians-Universität (LMU) München,,,,,,Tropeninstitut der Ludwig-Maximilians-Universität (LMU) München; Helmholtz Zentrum München,https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00021698,www.koco19.de,Längsschnitt/Prospektive Kohortenstudie,Wohnbevölkerung,Münchner Haushalte,Allgemeinbevölkerung,Mehrere,,14,Nicht-Einwohnermeldeamts-Zufallsstichprobe,Teilnehmende,,2021-07-15,2021-10-15,,,,,,Seroprävalenz aus der vierten Erhebungswelle in Münchner Haushalten (Antikörper nach Infektion),http://www.klinikum.uni-muenchen.de/Abteilung-fuer-Infektions-und-Tropenmedizin/download/de/KoCo19/Runde-4/KoCo19_Zusammenfassung_Runde4.pdf,2021-10-28,Institutional report,Kapillarblut,anti Nucleocapsid,Gesamt Ig-Antikörper,Elektrochemolumineszenz (ECL)-Immunassay; LIPS,ROCHE N,,,,,,,ROCHE N,Adjustiert für Test-Güte und bevölkerungsgewichtet,,,0.079,,,2021-11-03,,
