title,scope_regionality,region,location_1,location_2,location_3,location_4,location_5,location_6,location_raw,organisation_1,organisation_2,organisation_3,organisation_4,organisation_5,organisation_6,organisation_7,organisation_8,organisation_raw,registry_url,information_url,type,subject_frame,subject_information,scope_population,scope_age,age_max,age_min,sample_design,sample_analysis_unit,sample_size_obtained,sample_size_rounded,start_date,end_date,resource_url_1,resource_url_2,resource_url_3,resource_url_4,resource_url_5,results_seroprevalence_information,results_publication_url,results_publication_date,results_publication_type,analysis_data_source,analysis_target,analysis_isotype,analysis_test,analysis_test_manufacturer_1,analysis_test_manufacturer_2,analysis_test_manufacturer_3,analysis_test_manufacturer_4,analysis_test_manufacturer_5,analysis_test_manufacturer_6,analysis_test_manufacturer_7,analysis_test_manufacturer_raw,results_seroprevalence_adjustment,results_seroprevalence_sensitivity,results_seroprevalence_specificity,results_seroprevalence_positive,results_seroprevalence_positive_95pct_lower,results_seroprevalence_positive_95pct_upper,record_created,record_modified,results_underreporting
Rheinland Corona Studie,Local/Regional,North Rhine-Westphalia,Bonn,Bonn Beuel,Bonn Hardtberg,,,,"Bonn Beuel, Bonn Hardtberg and surrounding areas",Deutsches Zentrum für Neurodegenerative Erkrankungen (DZNE),,,,,,,,Deutsches Zentrum für Neurodegenerative Erkrankungen (DZNE),,https://www.rheinland-studie.de/die-studie/die-corona-studie.html,Cross sectional and selective longitudinal,Household and Community Samples,Participants already included in the Rhineland-Study,General population,Adults,,30,Cohort-sample - Sampling from existing cohort study in the general population,Participants,4755,4800,2020-04-24,2020-06-30,https://doi.org/10.1101/2020.08.24.20181206,https://doi.org/10.1038/s41467-021-22351-5,,,,Adjusted antibody-prevalence among participants of the Rheinland-Corona-study,https://doi.org/10.1038/s41467-021-22351-5,2021-04-09,Peer-reviewed Publikation,whole blood,anti -S1 domain,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,Not adjusted,0.868,1,0.0097,0.0072,0.013,2021-11-01,2021-09-18,4.2
COVID-19 Case-Cluster-Study,Local/Regional,North Rhine-Westphalia,Gangelt,,,,,,Gangelt,"Universitätsklinikum Bonn, Institut für Virologie",Universitätsklinikum Bonn,,,,,,,"Institut für Virologie, Universitätsklinikum Bonn",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00021306,,Cross sectional and selective longitudinal,Household and Community Samples,Residents of Gangelt and their household members,General population,Multiple,90,1,Random sampling (central registration-based),Participants,919,900,2020-03-31,2020-04-06,https://doi.org/10.1101/2020.05.04.20090076,https://doi.org/10.1038/s41467-020-19509-y,https://doi.org/10.1101/2022.01.26.22269805,,,Seroprevalence of Gangelts` citizen,https://doi.org/10.1038/s41467-020-19509-y,2020-11-17,Peer-reviewed Publikation,whole blood,,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,Adjusted for test-specificity/test-sensitivity and population-weighted,0.909,0.991,0.141,0.112,0.173,2021-07-30,2021-10-28,5
COVID-19 Case-Cluster-Study,Local/Regional,North Rhine-Westphalia,Gangelt,,,,,,Gangelt,"Universitätsklinikum Bonn, Institut für Virologie",Universitätsklinikum Bonn,,,,,,,"Institut für Virologie, Universitätsklinikum Bonn",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00021306,,Cross sectional and selective longitudinal,Household and Community Samples,Residents of Gangelt and their household members,General population,Multiple,90,1,Random sampling (central registration-based),Participants,587,600,2020-10-01,2020-10-31,,,,,,Seroprevalence of Gangelts` citizen for October 2020,https://doi.org/10.1101/2022.01.26.22269805,2022-01-28,Preprint,whole blood,,IgG,"ELISA ",EUROIMMUN,ROCHE N,,,,,,EUROIMMUN; ROCHE N,Adjusted for test-specificity/test-sensitivity,0.909,0.991,0.181,0.137,0.23,2022-02-15,2022-02-15,
COVID-19 Case-Cluster-Study,Local/Regional,North Rhine-Westphalia,Gangelt,,,,,,Gangelt,"Universitätsklinikum Bonn, Institut für Virologie",Universitätsklinikum Bonn,,,,,,,"Institut für Virologie, Universitätsklinikum Bonn",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00021306,,Cross sectional and selective longitudinal,Household and Community Samples,Residents of Gangelt and their household members,General population,Multiple,90,1,Random sampling (central registration-based),Participants,488,500,2021-01-01,2021-01-31,,,,,,Seroprevalence of Gangelts` citizen for January 2021,https://doi.org/10.1101/2022.01.26.22269805,2022-01-28,Preprint,whole blood,,IgG,"ELISA ",EUROIMMUN,ROCHE N,,,,,,EUROIMMUN; ROCHE N,Adjusted for test-specificity/test-sensitivity,0.909,0.991,0.21,0.162,0.261,2022-02-15,2022-02-15,
COVID-19 Case-Cluster-Study,Local/Regional,North Rhine-Westphalia,Gangelt,,,,,,Gangelt,"Universitätsklinikum Bonn, Institut für Virologie",Universitätsklinikum Bonn,,,,,,,"Institut für Virologie, Universitätsklinikum Bonn",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00021306,,Cross sectional and selective longitudinal,Household and Community Samples,Residents of Gangelt and their household members,General population,Multiple,90,1,Random sampling (central registration-based),Participants,406,400,2021-04-01,2021-04-30,,,,,,Seroprevalence of Gangelts` citizen for April 2021,https://doi.org/10.1101/2022.01.26.22269805,2022-01-28,Preprint,whole blood,,IgG,"ELISA ",EUROIMMUN,ROCHE N,,,,,,EUROIMMUN; ROCHE N,Adjusted for test-specificity/test-sensitivity,0.909,0.991,0.359,0.3,0.42,2022-02-15,2022-02-15,
Prospective Covid-19 cohort study Munich (KoCo19),Local/Regional,Bavaria,Munich,,,,,,Munich,Ludwig-Maximilians-Universität (LMU) München,Helmholtz Zentrum München,Tropeninstitut der Ludwig-Maximilians-Universität (LMU) München,,,,,,Tropeninstitut der Ludwig-Maximilians-Universität (LMU) München; Helmholtz Zentrum München,https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00021698,www.koco19.de,Longitudinal/Prospectice cohort study,Household and Community Samples,Munich households,General population,Multiple,,14,Random sampling (not central registration-based),Participants,5313,5300,2020-04-05,2020-06-12,https://doi.org/10.1186/s12889-020-09164-9,https://doi.org/10.3390/ijerph18073572,https://doi.org/10.1186/s12879-021-06589-4,http://www.klinikum.uni-muenchen.de/Abteilung-fuer-Infektions-und-Tropenmedizin/download/de/KoCo19/Runde-4/KoCo19_Zusammenfassung_Runde4.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
Prospektive Covid-19 Kohorte München (KoCo19),Local/Regional,Bavaria,Munich,,,,,,Munich,Ludwig-Maximilians-Universität (LMU) München,Helmholtz Zentrum München,Tropeninstitut der Ludwig-Maximilians-Universität (LMU) München,,,,,,Tropeninstitut der Ludwig-Maximilians-Universität (LMU) München; Helmholtz Zentrum München,https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00021698,www.koco19.de,Longitudinal/Prospectice cohort study,Household and Community Samples,Munich households,General population,Multiple,,14,Random sampling (not central registration-based),Participants,5313,5300,2020-04-05,2020-06-12,,,,,,Seroprevalence from the first wave of the survey in Munich households.,https://doi.org/10.3390/ijerph18073572,2021-03-30,Peer-reviewed Publikation,whole blood,anti Nucleocapsid,Total antibody,Elektrochemolumineszenz (ECL)-Immunassay; LIPS,ROCHE N,,,,,,,ROCHE N,Adjusted for test-specificity/test-sensitivity and population-weighted,0.886,0.997,0.018,0.013,0.024,2021-08-11,2021-10-11,4
Prospektive Covid-19 Kohorte München (KoCo19),Local/Regional,Bavaria,Munich,,,,,,Munich,Ludwig-Maximilians-Universität (LMU) München,Helmholtz Zentrum München,Tropeninstitut der Ludwig-Maximilians-Universität (LMU) München,,,,,,Tropeninstitut der LMU und Helmholtz Zentrum München,https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00021699,www.koco19.de,Longitudinal/Prospectice cohort study,Household and Community Samples,Munich households,General population,Multiple,,14,Random sampling (not central registration-based),Participants,4433,4400,2020-11-02,2021-01-31,,,,,,Seroprevalence from the second wave of the survey in Munich households (infection-induced),https://doi.org/10.1186/s12879-021-06589-4,2021-09-08,Peer-reviewed Publikation,capillary blood,anti Nucleocapsid,Total antibody,Elektrochemolumineszenz (ECL)-Immunassay; LIPS,ROCHE N,,,,,,,ROCHE N,Adjusted for test-specificity/test-sensitivity and population-weighted,0.992,0.987,0.036,0.029,0.043,,2021-10-29,2
Prospektive Covid-19 Kohorte München (KoCo19),Local/Regional,Bavaria,Munich,,,,,,Munich,Ludwig-Maximilians-Universität (LMU) München,Helmholtz Zentrum München,Tropeninstitut der Ludwig-Maximilians-Universität (LMU) München,,,,,,Tropeninstitut der Ludwig-Maximilians-Universität (LMU) München; Helmholtz Zentrum München,https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00021698,www.koco19.de,Longitudinal/Prospectice cohort study,Household and Community Samples,Munich households,General population,Multiple,,14,Random sampling (not central registration-based),Participants,,,2021-03-15,2021-04-15,,,,,,Seroprevalence from the third wave of the survey in Munich households (infection-induced),http://www.klinikum.uni-muenchen.de/Abteilung-fuer-Infektions-und-Tropenmedizin/de/COVID-19/KoCo19/index.html,2021-07-19,Institutional report,capillary blood,anti Nucleocapsid,Total antibody,Elektrochemolumineszenz (ECL)-Immunassay; LIPS,ROCHE N,,,,,,,ROCHE N,Adjusted for test-specificity/test-sensitivity and population-weighted,,,0.065,,,2021-08-11,2021-10-29,
Prospektive Covid-19 Kohorte München (KoCo19),Local/Regional,Bavaria,Munich,,,,,,Munich,Ludwig-Maximilians-Universität (LMU) München,Helmholtz Zentrum München,Tropeninstitut der Ludwig-Maximilians-Universität (LMU) München,,,,,,Tropeninstitut der Ludwig-Maximilians-Universität (LMU) München; Helmholtz Zentrum München,https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00021698,www.koco19.de,Longitudinal/Prospectice cohort study,Household and Community Samples,Munich households,General population,Multiple,,14,Random sampling (not central registration-based),Participants,,,2021-07-15,2021-10-15,,,,,,Seroprevalence from the fourth wave of the survey in Munich households (infection-induced),http://www.klinikum.uni-muenchen.de/Abteilung-fuer-Infektions-und-Tropenmedizin/download/de/KoCo19/Runde-4/KoCo19_Zusammenfassung_Runde4.pdf,2021-10-28,Institutional report,capillary blood,anti Nucleocapsid,Total antibody,Elektrochemolumineszenz (ECL)-Immunassay; LIPS,ROCHE N,,,,,,,ROCHE N,Adjusted for test-specificity/test-sensitivity and population-weighted,,,0.079,,,2021-11-03,,
